Resultado da Simulação

Arquivo de Entrada: entrada_Ex_Barra.txt


---------- Deslocamentos nos Pontos ----------
|Ponto|              u             |              v             |
------------------------------------------------------------------
|    1|            0.0000000000e+00|            0.0000000000e+00|
|    2|            5.0892857143e+00|           -1.4221410716e-08|
|    3|            1.2857142857e+01|            8.7647688218e-08|
|    4|            1.3258928571e+01|            2.2333785488e-08|
------------------------------------------------------------------


---------- Resultados Nodais (todos os nós-mesh) ----------
|   Nó|              u             |              v             |
------------------------------------------------------------------
|    1|            0.0000000000e+00|            0.0000000000e+00|
|    2|            5.0892857143e+00|           -1.4221410716e-08|
|    3|            1.2857142857e+01|            8.7647688218e-08|
|    4|            1.3258928571e+01|            2.2333785488e-08|
|    5|            5.8848214286e-02|            9.8132541648e-08|
|    6|            1.1753571429e-01|            9.1334153574e-09|
|    7|            1.7606250000e-01|           -1.4947484805e-07|
|    8|            2.3442857143e-01|            4.2021763846e-10|
|    9|            2.9263392857e-01|           -1.0572304987e-07|
|   10|            3.5067857143e-01|           -3.9339306035e-08|
|   11|            4.0856250000e-01|            4.7074829368e-08|
|   12|            4.6628571429e-01|            5.0584468614e-08|
|   13|            5.2384821429e-01|           -8.5466823840e-08|
|   14|            5.8125000000e-01|           -9.2836177412e-08|
|   15|            6.3849107143e-01|           -5.6286390215e-08|
|   16|            6.9557142857e-01|            1.0956813234e-09|
|   17|            7.5249107143e-01|            1.1189132909e-07|
|   18|            8.0925000000e-01|            8.2472918717e-08|
|   19|            8.6584821429e-01|            5.6606903609e-08|
|   20|            9.2228571429e-01|            9.2855046763e-08|
|   21|            9.7856250000e-01|           -7.0729753165e-09|
|   22|            1.0346785714e+00|            3.1455138494e-08|
|   23|            1.0906339286e+00|            6.2005598211e-08|
|   24|            1.1464285714e+00|           -3.5072733606e-08|
|   25|            1.2020625000e+00|            3.7741289205e-08|
|   26|            1.2575357143e+00|           -1.7798925667e-08|
|   27|            1.3128482143e+00|            1.2764361057e-07|
|   28|            1.3680000000e+00|           -4.7354339561e-08|
|   29|            1.4229910714e+00|            5.5351075723e-08|
|   30|            1.4778214286e+00|            1.0520778115e-07|
|   31|            1.5324910714e+00|            7.3488556573e-08|
|   32|            1.5870000000e+00|           -8.5333479616e-08|
|   33|            1.6413482143e+00|            1.4199419418e-07|
|   34|            1.6955357143e+00|           -5.8002922687e-08|
|   35|            1.7495625000e+00|            9.2384735861e-08|
|   36|            1.8034285714e+00|            2.0461921713e-08|
|   37|            1.8571339286e+00|           -4.9524806256e-08|
|   38|            1.9106785714e+00|           -3.9170803934e-08|
|   39|            1.9640625000e+00|            3.6675891213e-08|
|   40|            2.0172857143e+00|           -6.2867110850e-08|
|   41|            2.0703482143e+00|            6.4001238531e-08|
|   42|            2.1232500000e+00|            2.1530741190e-08|
|   43|            2.1759910714e+00|            5.5660411835e-08|
|   44|            2.2285714286e+00|           -7.5041063585e-08|
|   45|            2.2809910714e+00|           -3.9640408067e-08|
|   46|            2.3332500000e+00|            1.5269444598e-08|
|   47|            2.3853482143e+00|            4.1137957485e-08|
|   48|            2.4372857143e+00|            6.0232709043e-08|
|   49|            2.4890625000e+00|            5.9939945674e-08|
|   50|            2.5406785714e+00|           -9.2842878274e-08|
|   51|            2.5921339286e+00|           -4.9187526274e-08|
|   52|            2.6434285714e+00|            9.6969538177e-08|
|   53|            2.6945625000e+00|            7.9209049098e-08|
|   54|            2.7455357143e+00|           -5.6942143667e-08|
|   55|            2.7963482143e+00|            8.5111997450e-09|
|   56|            2.8470000000e+00|           -1.5510564388e-08|
|   57|            2.8974910714e+00|           -5.6993184616e-08|
|   58|            2.9478214286e+00|            4.5444835228e-08|
|   59|            2.9979910714e+00|            2.0097033371e-08|
|   60|            3.0480000000e+00|            5.8202834996e-08|
|   61|            3.0978482143e+00|            1.1939109701e-08|
|   62|            3.1475357143e+00|           -4.1206791090e-08|
|   63|            3.1970625000e+00|            1.4425674433e-08|
|   64|            3.2464285714e+00|           -1.0569101150e-11|
|   65|            3.2956339286e+00|            1.2987402487e-08|
|   66|            3.3446785714e+00|           -3.6744493670e-08|
|   67|            3.3935625000e+00|            6.2221265473e-08|
|   68|            3.4422857143e+00|           -2.0291515135e-08|
|   69|            3.4908482143e+00|            9.9160694766e-08|
|   70|            3.5392500000e+00|            5.9918139117e-08|
|   71|            3.5874910714e+00|            1.2008857131e-07|
|   72|            3.6355714286e+00|           -1.0118713423e-08|
|   73|            3.6834910714e+00|           -1.0867018907e-07|
|   74|            3.7312500000e+00|           -2.3826286721e-08|
|   75|            3.7788482143e+00|           -7.9681296450e-08|
|   76|            3.8262857143e+00|            2.9317046124e-08|
|   77|            3.8735625000e+00|           -4.2106129694e-09|
|   78|            3.9206785714e+00|           -3.2836635633e-08|
|   79|            3.9676339286e+00|            1.1670114031e-07|
|   80|            4.0144285714e+00|           -2.5212299581e-08|
|   81|            4.0610625000e+00|            4.2414237011e-08|
|   82|            4.1075357143e+00|           -6.1602755563e-08|
|   83|            4.1538482143e+00|           -8.8483129046e-08|
|   84|            4.2000000000e+00|            8.4625200847e-08|
|   85|            4.2459910714e+00|            4.8988687995e-08|
|   86|            4.2918214286e+00|           -5.5947287469e-08|
|   87|            4.3374910714e+00|           -7.8821487781e-08|
|   88|            4.3830000000e+00|            9.4661505301e-08|
|   89|            4.4283482143e+00|           -6.0664476775e-08|
|   90|            4.4735357143e+00|            1.7203878322e-09|
|   91|            4.5185625000e+00|            3.0177583099e-08|
|   92|            4.5634285714e+00|           -2.4594638326e-08|
